"","CAMHB 0.0625ug/mL Nafcillin 1","CAMHB 0.5ug/mL Nafcillin 1","CAMHB 0ug/mL Nafcillin 1","CAMHB 0.0625ug/mL Nafcillin 2","CAMHB 0.5ug/mL Nafcillin 3","CAMHB 0ug/mL Nafcillin 2","CAMHB 0ug/mL Nafcillin 3","CAMHB 0.0625ug/mL Nafcillin 3","CAMHB 0.5ug/mL Nafcillin 2","R10LB 0.031ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 1","R10LB 0ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 2","R10LB 0ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 3","R10LB 0ug/mL Nafcillin 2","R10LB 0.0625ug/mL Nafcillin 2"
"USA300HOU_RS00005",9.40764192362537,9.48968691725755,9.35744809883837,9.40452311423688,9.4714150450344,9.40979793461752,9.24478098149661,9.53244991465103,9.43106254713922,9.07060799051913,9.14745673357951,9.46270923868854,9.1498768651218,9.16311906047882,9.47218491122416,9.07988436843923,9.37429842992177,9.16163999105562
"USA300HOU_RS00010",9.82025455355785,9.85595467245829,9.76371239406597,9.83761624204568,9.82892824380836,9.79210628241296,9.72158812826568,9.88311084596447,9.81590823365587,9.58724976578193,9.63173368054772,9.86674350125019,9.69341990813006,9.67442125842502,9.81162242500797,9.62694416629275,9.80157453008122,9.6481573196516
"USA300HOU_RS00015",7.02084698055729,7.17165864936013,7.15914410363165,7.11912890872806,7.12043032692029,6.90644971094409,7.00917466550059,7.22594439498847,7.28851078347219,7.57726978294438,7.63300097118015,7.94523083749074,7.6728401089573,7.57156143164475,7.76811218201343,7.68230060778585,7.87331540140492,7.70625214909243
"USA300HOU_RS00020",8.14626002610231,8.11190593602047,8.253613054079,8.19405550273627,8.15562403357891,8.10615800802143,8.17603769965983,8.22005274336211,8.21797491180705,7.99733917838997,7.99952667108281,8.35907016747163,7.94862454833399,8.0225707190177,8.3857874365934,7.9604538300839,8.13111722875196,8.1328666833141
"USA300HOU_RS00025",7.99175607540177,8.05340456682908,8.14399825871091,8.10465054226622,8.04081372748391,8.02539964549144,8.10540240293082,8.09914501273173,8.08571191431666,7.87573510582971,7.91178307242856,8.22830323945577,7.77901012149788,7.77773928054551,8.42718295091911,7.69558444522947,8.08255920968025,8.03737864377748
"USA300HOU_RS00030",8.43480755764499,8.46445758415952,8.52250859582699,8.47794868150981,8.4406342497945,8.46048103789631,8.48269895474718,8.53803210031643,8.51373457898594,8.12180936926813,8.11536862573869,8.57088933446412,7.94392907210119,7.96415754640798,8.83696230324087,7.84843713899113,8.33010494761721,8.352331585436
"USA300HOU_RS00035",5.53947404441091,5.68117614664063,5.70568288793419,5.47523848362396,5.37153794792767,5.81001152130379,5.82907802166607,5.75359338950389,5.61625377781775,5.6438820853196,5.87169449032935,5.71886089545832,5.44477560092091,5.39274679427507,6.32333416988346,5.4500170379723,6.12745650798964,5.64947043000821
"USA300HOU_RS00040",10.002392795894,10.0096940969525,10.0263833419268,10.0468693937183,10.0803898232206,9.89688738254557,9.94745924622592,9.98009280820162,10.0762321688181,3.31670107802664,3.21409060069145,3.6588151648016,3.57611178326655,3.04701398355294,3.24420398893812,3.16108585730952,3.64429910331193,3.34113909652063
"USA300HOU_RS00045",9.57034475507423,9.53429926325753,9.82038559738589,9.62191690347288,9.67892649263173,9.73396447686371,9.61481271503272,9.56575487083283,9.59521562542977,8.28047106312853,8.28350921199022,8.40549339553023,8.42728100728767,8.48695250814392,8.15123025163179,8.45053275465244,8.38764698774474,8.17010167764471
"USA300HOU_RS00050",3.29321655041505,3.21261273894588,3.22543574267825,2.9026972376692,3.01951667121195,3.58367099038793,3.57308007214693,3.19653190527285,3.35206417204702,7.18453133556589,7.47862947842808,5.33802676768544,6.75908196953324,6.89121514905082,6.52707672647932,7.03100072269219,6.931980002143,6.48670781680129
"USA300HOU_RS00055",3.42776259242133,3.49837768568217,2.89829868092292,3.54902347713076,3.3536610912797,3.32179562346023,3.49210371043346,3.02242055362689,3.02498424255424,7.68085642897231,8.11351052542649,5.64608997578701,7.23483046973686,7.42231306579279,6.9067224265531,7.59658033245402,7.39918758939614,6.91302969982836
"USA300HOU_RS00060",4.65640514895014,4.66441337477948,4.58522813099871,4.70723692407326,4.81194017308856,4.4784352083256,4.41087800815381,4.66409450328057,4.75626538611395,7.07901732265004,7.22370094693766,5.86533433134904,6.86700155376755,6.9123091982662,6.48742887832154,7.04873561383404,6.8070638032078,6.64807883386859
"USA300HOU_RS00065",7.98890562979445,7.97330637010103,8.08302104617453,8.03153838910431,7.8131250207894,8.1789146559684,8.16168177703393,8.10016930011937,7.86367561723614,8.25799234540423,8.26385997091357,7.87955927417513,8.17893520789107,8.18743446333082,8.08783983217771,8.18906613824816,8.08090254936187,8.16751505793733
"USA300HOU_RS00070",8.37952819743166,8.34402146737035,8.45180643118145,8.37832269806607,8.28876017021399,8.56580534848274,8.49544693332593,8.45410591738791,8.29756429140021,8.49479020468034,8.58440358665917,8.15404383335907,8.40864209000067,8.36730807199455,8.53723375488405,8.27863134481234,8.35330865773584,8.48977194508294
"USA300HOU_RS00075",8.342064267283,8.41296726067317,8.53296408677259,8.40454767266143,8.33162953672161,8.6486793487741,8.59579458328249,8.35824844277822,8.27482994655388,8.46597867598783,8.42549065741212,8.25601254713147,8.26967620883163,8.17436213420063,8.54195121515913,8.2849286596093,8.49871432916178,8.42966618413916
"USA300HOU_RS00080",8.06167849129289,8.08679119668048,8.30349803550959,8.09699080575193,8.07822351407257,8.32094432894991,8.20204065968811,8.20911912651958,8.10135781085841,8.14965512638806,8.44770284455184,7.59923180129093,7.95011326907035,7.65230725586416,8.47188739030506,7.69449379537061,8.07143495196449,8.40392759243017
"USA300HOU_RS00085",6.33372592589549,6.49969558563485,6.80704381125111,6.44027846273436,6.37845342830477,6.72877023783468,6.86742492432708,6.54012782062153,6.45541277756097,6.52667539148259,6.26796301348191,8.11166065085793,5.36826341689103,5.91021816255745,8.80922345172345,5.92663294812078,7.44349944798922,6.74165630938363
